STATION,DATE,TMAX,TMIN
GHCND:USW00013743,19980506,73,56
GHCND:USW00013743,19980507,73,57
GHCND:USW00013743,19980508,70,60
GHCND:USW00013743,19980509,69,57
GHCND:USW00013743,19980510,65,57
GHCND:USW00013743,19980511,57,53
GHCND:USW00013743,19980512,55,52
GHCND:USW00013743,19980513,70,52
GHCND:USW00013743,19980514,78,50
GHCND:USW00013743,19980515,86,54
GHCND:USW00013743,19980516,86,60
GHCND:USW00013743,19980517,86,66
GHCND:USW00013743,19980518,85,62
GHCND:USW00013743,19980519,91,67
GHCND:USW00013743,19980520,88,70
GHCND:USW00013743,19980521,84,65
GHCND:USW00013743,19980522,73,55
GHCND:USW00013743,19980523,68,57
GHCND:USW00013743,19980524,71,53
GHCND:USW00013743,19980525,86,61
GHCND:USW00013743,19980526,77,66
GHCND:USW00013743,19980527,70,63
GHCND:USW00013743,19980528,80,58
GHCND:USW00013743,19980529,85,65
GHCND:USW00013743,19980530,90,68
GHCND:USW00013743,19980531,89,71
GHCND:USW00013743,19980601,80,65
GHCND:USW00013743,19980602,83,59
GHCND:USW00013743,19980603,80,59
GHCND:USW00013743,19980604,72,58
GHCND:USW00013743,19980605,72,57
GHCND:USW00013743,19980606,72,55
GHCND:USW00013743,19980607,70,52
GHCND:USW00013743,19980608,76,57
GHCND:USW00013743,19980609,74,54
GHCND:USW00013743,19980610,63,57
GHCND:USW00013743,19980611,69,61
GHCND:USW00013743,19980612,81,65
GHCND:USW00013743,19980613,82,63
GHCND:USW00013743,19980614,82,62
GHCND:USW00013743,19980615,83,64
GHCND:USW00013743,19980616,87,66
GHCND:USW00013743,19980617,84,65
GHCND:USW00013743,19980618,87,69
GHCND:USW00013743,19980619,79,69
GHCND:USW00013743,19980620,89,71
GHCND:USW00013743,19980621,89,70
GHCND:USW00013743,19980622,83,72
GHCND:USW00013743,19980623,86,72
GHCND:USW00013743,19980624,87,72
GHCND:USW00013743,19980625,90,73
GHCND:USW00013743,19980626,95,75
GHCND:USW00013743,19980627,88,76
GHCND:USW00013743,19980628,77,68
GHCND:USW00013743,19980629,84,69
GHCND:USW00013743,19980630,90,68
GHCND:USW00013743,19980701,85,66
GHCND:USW00013743,19980702,85,65
GHCND:USW00013743,19980703,87,64
GHCND:USW00013743,19980704,86,71
GHCND:USW00013743,19980705,87,70
GHCND:USW00013743,19980706,86,65
GHCND:USW00013743,19980707,89,67
GHCND:USW00013743,19980708,77,67
GHCND:USW00013743,19980709,85,65
GHCND:USW00013743,19980710,88,71
GHCND:USW00013743,19980711,81,64
GHCND:USW00013743,19980712,84,62
GHCND:USW00013743,19980713,86,67
GHCND:USW00013743,19980714,86,70
GHCND:USW00013743,19980715,84,73
GHCND:USW00013743,19980716,91,73
GHCND:USW00013743,19980717,92,76
GHCND:USW00013743,19980718,88,73
GHCND:USW00013743,19980719,89,70
GHCND:USW00013743,19980720,96,74
GHCND:USW00013743,19980721,96,73
GHCND:USW00013743,19980722,97,75
GHCND:USW00013743,19980723,93,74
GHCND:USW00013743,19980724,89,73
GHCND:USW00013743,19980725,86,74
GHCND:USW00013743,19980726,82,70
GHCND:USW00013743,19980727,86,67
GHCND:USW00013743,19980728,91,71
GHCND:USW00013743,19980729,95,74
GHCND:USW00013743,19980730,94,74
GHCND:USW00013743,19980731,83,69
GHCND:USW00013743,19980801,84,65
GHCND:USW00013743,19980802,84,63
GHCND:USW00013743,19980803,88,62
GHCND:USW00013743,19980804,89,67
GHCND:USW00013743,19980805,89,66
GHCND:USW00013743,19980806,87,66
GHCND:USW00013743,19980807,88,69
GHCND:USW00013743,19980808,87,73
GHCND:USW00013743,19980809,89,73
GHCND:USW00013743,19980810,88,74
GHCND:USW00013743,19980811,91,71
GHCND:USW00013743,19980812,89,72
GHCND:USW00013743,19980813,88,69
GHCND:USW00013743,19980814,86,73
GHCND:USW00013743,19980815,87,72
GHCND:USW00013743,19980816,82,73
GHCND:USW00013743,19980817,88,73
GHCND:USW00013743,19980818,92,71
GHCND:USW00013743,19980819,77,61
GHCND:USW00013743,19980820,82,57
GHCND:USW00013743,19980821,89,62
GHCND:USW00013743,19980822,94,69
GHCND:USW00013743,19980823,95,73
GHCND:USW00013743,19980824,96,72
GHCND:USW00013743,19980825,97,75
GHCND:USW00013743,19980826,92,75
GHCND:USW00013743,19980827,89,75
GHCND:USW00013743,19980828,94,74
GHCND:USW00013743,19980829,95,75
GHCND:USW00013743,19980830,91,72
GHCND:USW00013743,19980831,93,73
GHCND:USW00013743,19980901,84,71
GHCND:USW00013743,19980902,89,71
GHCND:USW00013743,19980903,84,67
GHCND:USW00013743,19980904,91,70
GHCND:USW00013743,19980905,87,67
GHCND:USW00013743,19980906,94,64
GHCND:USW00013743,19980907,95,71
GHCND:USW00013743,19980908,76,59
GHCND:USW00013743,19980909,74,55
GHCND:USW00013743,19980910,78,58
GHCND:USW00013743,19980911,85,57
GHCND:USW00013743,19980912,95,64
GHCND:USW00013743,19980913,92,72
GHCND:USW00013743,19980914,91,69
GHCND:USW00013743,19980915,93,71
GHCND:USW00013743,19980916,95,73
GHCND:USW00013743,19980917,86,71
GHCND:USW00013743,19980918,81,70
GHCND:USW00013743,19980919,81,69
GHCND:USW00013743,19980920,85,69
GHCND:USW00013743,19980921,92,70
GHCND:USW00013743,19980922,84,68
GHCND:USW00013743,19980923,70,57
GHCND:USW00013743,19980924,73,51
GHCND:USW00013743,19980925,71,62
GHCND:USW00013743,19980926,86,63
GHCND:USW00013743,19980927,95,69
GHCND:USW00013743,19980928,85,65
GHCND:USW00013743,19980929,78,58
GHCND:USW00013743,19980930,85,68
GHCND:USW00013743,19981001,82,55
GHCND:USW00013743,19981002,71,48
GHCND:USW00013743,19981003,67,50
GHCND:USW00013743,19981004,56,52
GHCND:USW00013743,19981005,65,53
GHCND:USW00013743,19981006,69,60
GHCND:USW00013743,19981007,70,62
GHCND:USW00013743,19981008,70,61
GHCND:USW00013743,19981009,63,58
GHCND:USW00013743,19981010,68,56
GHCND:USW00013743,19981011,74,55
GHCND:USW00013743,19981012,69,56
GHCND:USW00013743,19981013,69,56
GHCND:USW00013743,19981014,66,50
GHCND:USW00013743,19981015,67,46
GHCND:USW00013743,19981016,68,46
GHCND:USW00013743,19981017,71,47
GHCND:USW00013743,19981018,79,54
GHCND:USW00013743,19981019,73,59
GHCND:USW00013743,19981020,72,55
GHCND:USW00013743,19981021,65,50
GHCND:USW00013743,19981022,56,42
GHCND:USW00013743,19981023,63,40
GHCND:USW00013743,19981024,73,46
GHCND:USW00013743,19981025,74,46
GHCND:USW00013743,19981026,73,50
GHCND:USW00013743,19981027,65,54
GHCND:USW00013743,19981028,70,55
GHCND:USW00013743,19981029,65,49
GHCND:USW00013743,19981030,68,41
GHCND:USW00013743,19981031,66,43
GHCND:USW00013743,19981101,64,43
GHCND:USW00013743,19981102,58,47
GHCND:USW00013743,19981103,52,41
GHCND:USW00013743,19981104,53,38
GHCND:USW00013743,19981105,50,31
GHCND:USW00013743,19981106,50,35
GHCND:USW00013743,19981107,55,38
GHCND:USW00013743,19981108,49,39
GHCND:USW00013743,19981109,56,40
GHCND:USW00013743,19981110,64,43
GHCND:USW00013743,19981111,71,51
GHCND:USW00013743,19981112,57,41
GHCND:USW00013743,19981113,57,43
GHCND:USW00013743,19981114,63,43
GHCND:USW00013743,19981115,67,47
GHCND:USW00013743,19981116,60,39
GHCND:USW00013743,19981117,67,44
GHCND:USW00013743,19981118,55,44
GHCND:USW00013743,19981119,58,38
GHCND:USW00013743,19981120,69,48
GHCND:USW00013743,19981121,49,36
GHCND:USW00013743,19981122,50,32
GHCND:USW00013743,19981123,63,35
GHCND:USW00013743,19981124,63,46
GHCND:USW00013743,19981125,56,37
GHCND:USW00013743,19981126,64,49
GHCND:USW00013743,19981127,59,43
GHCND:USW00013743,19981128,66,38
GHCND:USW00013743,19981129,72,39
GHCND:USW00013743,19981130,66,46
GHCND:USW00013743,19981201,67,45
GHCND:USW00013743,19981202,65,38
GHCND:USW00013743,19981203,65,43
GHCND:USW00013743,19981204,76,54
GHCND:USW00013743,19981205,73,57
GHCND:USW00013743,19981206,78,54
GHCND:USW00013743,19981207,79,58
GHCND:USW00013743,19981208,62,52
GHCND:USW00013743,19981209,52,38
GHCND:USW00013743,19981210,51,35
GHCND:USW00013743,19981211,50,39
GHCND:USW00013743,19981212,47,35
GHCND:USW00013743,19981213,46,40
GHCND:USW00013743,19981214,46,34
GHCND:USW00013743,19981215,49,29
GHCND:USW00013743,19981216,55,37
GHCND:USW00013743,19981217,50,37
GHCND:USW00013743,19981218,45,35
GHCND:USW00013743,19981219,53,38
GHCND:USW00013743,19981220,55,43
GHCND:USW00013743,19981221,59,46
GHCND:USW00013743,19981222,67,24
GHCND:USW00013743,19981223,28,20
GHCND:USW00013743,19981224,30,24
GHCND:USW00013743,19981225,36,24
GHCND:USW00013743,19981226,34,23
GHCND:USW00013743,19981227,41,25
GHCND:USW00013743,19981228,47,35
GHCND:USW00013743,19981229,40,37
GHCND:USW00013743,19981230,38,22
GHCND:USW00013743,19981231,28,21
GHCND:USW00013743,19990101,32,19
GHCND:USW00013743,19990102,25,20
GHCND:USW00013743,19990103,55,25
GHCND:USW00013743,19990104,32,21
GHCND:USW00013743,19990105,27,17
GHCND:USW00013743,19990106,35,16
GHCND:USW00013743,19990107,40,27
GHCND:USW00013743,19990108,31,22
GHCND:USW00013743,19990109,45,26
GHCND:USW00013743,19990110,30,20
GHCND:USW00013743,19990111,32,22
GHCND:USW00013743,19990112,57,31
